alpha 0: 


>>> DIA 1
+---------------+------------+----------+---------------------+--------------+
| hora_inicio   | hora_fim   | pessoa   | tarefa              |   ocorrencia |
| 11:30         | 12:00      | baba     | arrotar             |            3 |
| 12:00         | 12:30      | baba     | trocar_fralda       |            4 |
| 12:30         | 13:00      | baba     | cortar_unha         |            0 |
| 13:00         | 13:30      | baba     | ninar               |            4 |
| 13:30         | 14:30      | baba     | amamentar           |            4 |
| 14:30         | 15:00      | baba     | arrotar             |            4 |
| 15:00         | 15:30      | avo      | trocar_fralda       |            5 |
| 15:00         | 15:30      | tia      | lavar_louca_almoco  |            0 |
| 15:30         | 16:00      | tio      | banho_de_sol        |            0 |
| 15:30         | 16:00      | tia      | aspirar_casa        |            0 |
| 16:00         | 16:30      | tia      | ninar               |            5 |
| 16:30         | 17:30      | tia      | amamentar           |            5 |
| 17:30         | 18:00      | tio      | arrotar             |            5 |
| 18:00         | 18:30      | mae      | trocar_fralda       |            6 |
| 18:30         | 19:00      | mae      | lavar_roupa         |            0 |
| 18:30         | 19:00      | pai      | tirar_lixo          |            0 |
| 18:30         | 19:00      | tio      | banho               |            0 |
| 19:00         | 19:30      | mae      | estender_roupa      |            0 |
| 19:00         | 19:30      | pai      | preparar_jantar     |            0 |
| 19:00         | 19:30      | tio      | ninar               |            6 |
| 19:30         | 20:30      | mae      | amamentar           |            6 |
| 20:00         | 20:30      | tio      | lavar_louca_jantar  |            0 |
| 20:30         | 21:00      | tio      | arrotar             |            6 |
| 21:00         | 21:30      | mae      | trocar_fralda       |            7 |
| 22:00         | 22:30      | mae      | ninar               |            7 |
| 22:30         | 23:30      | mae      | amamentar           |            7 |
| 23:00         | 23:30      | pai      | lavar_banheiro      |            0 |
| 23:30         | 00:00      | pai      | arrotar             |            7 |
+---------------+------------+----------+---------------------+--------------+
